"region","type","date","locations","rooms","rooms_capacity"
"Hele landet","Hoteller og Feriecentre i alt","1992-01-01",464,32797,31
"Hele landet","Hoteller og Feriecentre i alt","1992-02-01",473,33466,36
"Hele landet","Hoteller og Feriecentre i alt","1992-03-01",485,34671,39
"Hele landet","Hoteller og Feriecentre i alt","1992-04-01",513,35991,41
"Hele landet","Hoteller og Feriecentre i alt","1992-05-01",541,37322,54
"Hele landet","Hoteller og Feriecentre i alt","1992-06-01",556,38167,55
"Hele landet","Hoteller og Feriecentre i alt","1992-07-01",555,37971,67
"Hele landet","Hoteller og Feriecentre i alt","1992-08-01",553,38053,67
"Hele landet","Hoteller og Feriecentre i alt","1992-09-01",539,37825,55
"Hele landet","Hoteller og Feriecentre i alt","1992-10-01",506,36270,47
"Hele landet","Hoteller og Feriecentre i alt","1992-11-01",480,34997,44
"Hele landet","Hoteller og Feriecentre i alt","1992-12-01",470,34642,27
"Hele landet","Hoteller og Feriecentre i alt","1993-01-01",476,34539,30
"Hele landet","Hoteller og Feriecentre i alt","1993-02-01",488,34893,35
"Hele landet","Hoteller og Feriecentre i alt","1993-03-01",499,35487,41
"Hele landet","Hoteller og Feriecentre i alt","1993-04-01",529,36803,40
"Hele landet","Hoteller og Feriecentre i alt","1993-05-01",556,37955,49
"Hele landet","Hoteller og Feriecentre i alt","1993-06-01",567,38344,57
"Hele landet","Hoteller og Feriecentre i alt","1993-07-01",576,38434,65
"Hele landet","Hoteller og Feriecentre i alt","1993-08-01",570,38232,62
"Hele landet","Hoteller og Feriecentre i alt","1993-09-01",559,37910,55
"Hele landet","Hoteller og Feriecentre i alt","1993-10-01",518,36404,45
"Hele landet","Hoteller og Feriecentre i alt","1993-11-01",489,34761,44
"Hele landet","Hoteller og Feriecentre i alt","1993-12-01",479,34274,27
"Hele landet","Hoteller og Feriecentre i alt","1994-01-01",457,33165,32
"Hele landet","Hoteller og Feriecentre i alt","1994-02-01",472,33950,37
"Hele landet","Hoteller og Feriecentre i alt","1994-03-01",499,35537,40
"Hele landet","Hoteller og Feriecentre i alt","1994-04-01",519,36555,43
"Hele landet","Hoteller og Feriecentre i alt","1994-05-01",544,37556,54
"Hele landet","Hoteller og Feriecentre i alt","1994-06-01",557,38058,60
"Hele landet","Hoteller og Feriecentre i alt","1994-07-01",565,38521,64
"Hele landet","Hoteller og Feriecentre i alt","1994-08-01",558,38181,66
"Hele landet","Hoteller og Feriecentre i alt","1994-09-01",544,37806,57
"Hele landet","Hoteller og Feriecentre i alt","1994-10-01",505,36098,48
"Hele landet","Hoteller og Feriecentre i alt","1994-11-01",484,35201,47
"Hele landet","Hoteller og Feriecentre i alt","1994-12-01",475,34515,30
"Hele landet","Hoteller og Feriecentre i alt","1995-01-01",469,34205,33
"Hele landet","Hoteller og Feriecentre i alt","1995-02-01",484,34804,39
"Hele landet","Hoteller og Feriecentre i alt","1995-03-01",500,35517,46
"Hele landet","Hoteller og Feriecentre i alt","1995-04-01",531,37306,44
"Hele landet","Hoteller og Feriecentre i alt","1995-05-01",553,37832,54
"Hele landet","Hoteller og Feriecentre i alt","1995-06-01",563,38248,58
"Hele landet","Hoteller og Feriecentre i alt","1995-07-01",564,38258,65
"Hele landet","Hoteller og Feriecentre i alt","1995-08-01",558,37965,64
"Hele landet","Hoteller og Feriecentre i alt","1995-09-01",550,37992,58
"Hele landet","Hoteller og Feriecentre i alt","1995-10-01",516,36321,51
"Hele landet","Hoteller og Feriecentre i alt","1995-11-01",496,35800,48
"Hele landet","Hoteller og Feriecentre i alt","1995-12-01",485,35058,30
"Hele landet","Hoteller og Feriecentre i alt","1996-01-01",465,34313,35
"Hele landet","Hoteller og Feriecentre i alt","1996-02-01",479,35094,39
"Hele landet","Hoteller og Feriecentre i alt","1996-03-01",502,36259,46
"Hele landet","Hoteller og Feriecentre i alt","1996-04-01",523,37141,46
"Hele landet","Hoteller og Feriecentre i alt","1996-05-01",547,38005,56
"Hele landet","Hoteller og Feriecentre i alt","1996-06-01",558,38635,60
"Hele landet","Hoteller og Feriecentre i alt","1996-07-01",562,38656,70
"Hele landet","Hoteller og Feriecentre i alt","1996-08-01",559,38637,68
"Hele landet","Hoteller og Feriecentre i alt","1996-09-01",548,38181,59
"Hele landet","Hoteller og Feriecentre i alt","1996-10-01",519,37094,55
"Hele landet","Hoteller og Feriecentre i alt","1996-11-01",495,35655,51
"Hele landet","Hoteller og Feriecentre i alt","1996-12-01",485,34872,30
"Hele landet","Hoteller og Feriecentre i alt","1997-01-01",458,33602,35
"Hele landet","Hoteller og Feriecentre i alt","1997-02-01",473,34237,42
"Hele landet","Hoteller og Feriecentre i alt","1997-03-01",498,35821,44
"Hele landet","Hoteller og Feriecentre i alt","1997-04-01",517,36626,47
"Hele landet","Hoteller og Feriecentre i alt","1997-05-01",537,37547,56
"Hele landet","Hoteller og Feriecentre i alt","1997-06-01",545,37892,61
"Hele landet","Hoteller og Feriecentre i alt","1997-07-01",548,37923,71
"Hele landet","Hoteller og Feriecentre i alt","1997-08-01",543,37828,71
"Hele landet","Hoteller og Feriecentre i alt","1997-09-01",536,37634,62
"Hele landet","Hoteller og Feriecentre i alt","1997-10-01",506,36295,55
"Hele landet","Hoteller og Feriecentre i alt","1997-11-01",485,35423,49
"Hele landet","Hoteller og Feriecentre i alt","1997-12-01",475,34692,32
"Hele landet","Hoteller og Feriecentre i alt","1998-01-01",460,34206,37
"Hele landet","Hoteller og Feriecentre i alt","1998-02-01",474,34901,42
"Hele landet","Hoteller og Feriecentre i alt","1998-03-01",490,35648,47
"Hele landet","Hoteller og Feriecentre i alt","1998-04-01",512,36780,45
"Hele landet","Hoteller og Feriecentre i alt","1998-05-01",536,37947,50
"Hele landet","Hoteller og Feriecentre i alt","1998-06-01",543,38312,63
"Hele landet","Hoteller og Feriecentre i alt","1998-07-01",551,38386,71
"Hele landet","Hoteller og Feriecentre i alt","1998-08-01",548,38495,72
"Hele landet","Hoteller og Feriecentre i alt","1998-09-01",540,38242,62
"Hele landet","Hoteller og Feriecentre i alt","1998-10-01",514,36928,57
"Hele landet","Hoteller og Feriecentre i alt","1998-11-01",488,35520,52
"Hele landet","Hoteller og Feriecentre i alt","1998-12-01",476,34827,33
"Hele landet","Hoteller og Feriecentre i alt","1999-01-01",463,34392,36
"Hele landet","Hoteller og Feriecentre i alt","1999-02-01",472,34815,44
"Hele landet","Hoteller og Feriecentre i alt","1999-03-01",497,36142,47
"Hele landet","Hoteller og Feriecentre i alt","1999-04-01",512,36786,47
"Hele landet","Hoteller og Feriecentre i alt","1999-05-01",537,38430,54
"Hele landet","Hoteller og Feriecentre i alt","1999-06-01",544,38725,62
"Hele landet","Hoteller og Feriecentre i alt","1999-07-01",545,38680,68
"Hele landet","Hoteller og Feriecentre i alt","1999-08-01",545,38810,67
"Hele landet","Hoteller og Feriecentre i alt","1999-09-01",536,38456,60
"Hele landet","Hoteller og Feriecentre i alt","1999-10-01",507,37240,52
"Hele landet","Hoteller og Feriecentre i alt","1999-11-01",486,35978,53
"Hele landet","Hoteller og Feriecentre i alt","1999-12-01",475,35348,33
"Hele landet","Hoteller og Feriecentre i alt","2000-01-01",473,35789,35
"Hele landet","Hoteller og Feriecentre i alt","2000-02-01",480,35829,43
"Hele landet","Hoteller og Feriecentre i alt","2000-03-01",491,36354,47
"Hele landet","Hoteller og Feriecentre i alt","2000-04-01",515,37524,47
"Hele landet","Hoteller og Feriecentre i alt","2000-05-01",541,39018,57
"Hele landet","Hoteller og Feriecentre i alt","2000-06-01",547,39257,60
"Hele landet","Hoteller og Feriecentre i alt","2000-07-01",550,39459,73
"Hele landet","Hoteller og Feriecentre i alt","2000-08-01",551,39655,69
"Hele landet","Hoteller og Feriecentre i alt","2000-09-01",541,39301,61
"Hele landet","Hoteller og Feriecentre i alt","2000-10-01",512,37858,55
"Hele landet","Hoteller og Feriecentre i alt","2000-11-01",495,36988,53
"Hele landet","Hoteller og Feriecentre i alt","2000-12-01",483,36168,34
"Hele landet","Hoteller og Feriecentre i alt","2001-01-01",474,35927,37
"Hele landet","Hoteller og Feriecentre i alt","2001-02-01",488,36860,42
"Hele landet","Hoteller og Feriecentre i alt","2001-03-01",500,37414,48
"Hele landet","Hoteller og Feriecentre i alt","2001-04-01",528,38766,45
"Hele landet","Hoteller og Feriecentre i alt","2001-05-01",549,39921,55
"Hele landet","Hoteller og Feriecentre i alt","2001-06-01",553,40088,59
"Hele landet","Hoteller og Feriecentre i alt","2001-07-01",557,40181,67
"Hele landet","Hoteller og Feriecentre i alt","2001-08-01",558,40409,67
"Hele landet","Hoteller og Feriecentre i alt","2001-09-01",548,40347,60
"Hele landet","Hoteller og Feriecentre i alt","2001-10-01",521,39187,53
"Hele landet","Hoteller og Feriecentre i alt","2001-11-01",500,38058,50
"Hele landet","Hoteller og Feriecentre i alt","2001-12-01",489,37584,30
"Hele landet","Hoteller og Feriecentre i alt","2002-01-01",477,37270,36
"Hele landet","Hoteller og Feriecentre i alt","2002-02-01",487,37705,42
"Hele landet","Hoteller og Feriecentre i alt","2002-03-01",505,38705,44
"Hele landet","Hoteller og Feriecentre i alt","2002-04-01",525,39600,47
"Hele landet","Hoteller og Feriecentre i alt","2002-05-01",551,40875,55
"Hele landet","Hoteller og Feriecentre i alt","2002-06-01",558,41161,57
"Hele landet","Hoteller og Feriecentre i alt","2002-07-01",560,41194,68
"Hele landet","Hoteller og Feriecentre i alt","2002-08-01",559,41227,63
"Hele landet","Hoteller og Feriecentre i alt","2002-09-01",550,41101,60
"Hele landet","Hoteller og Feriecentre i alt","2002-10-01",520,39843,53
"Hele landet","Hoteller og Feriecentre i alt","2002-11-01",498,38787,51
"Hele landet","Hoteller og Feriecentre i alt","2002-12-01",489,38310,33
"Hele landet","Hoteller og Feriecentre i alt","2003-01-01",475,37445,34
"Hele landet","Hoteller og Feriecentre i alt","2003-02-01",486,38055,40
"Hele landet","Hoteller og Feriecentre i alt","2003-03-01",500,38790,42
"Hele landet","Hoteller og Feriecentre i alt","2003-04-01",526,39969,43
"Hele landet","Hoteller og Feriecentre i alt","2003-05-01",545,40934,54
"Hele landet","Hoteller og Feriecentre i alt","2003-06-01",551,41137,54
"Hele landet","Hoteller og Feriecentre i alt","2003-07-01",553,41524,65
"Hele landet","Hoteller og Feriecentre i alt","2003-08-01",555,41766,64
"Hele landet","Hoteller og Feriecentre i alt","2003-09-01",551,41782,59
"Hele landet","Hoteller og Feriecentre i alt","2003-10-01",520,40375,50
"Hele landet","Hoteller og Feriecentre i alt","2003-11-01",501,39481,50
"Hele landet","Hoteller og Feriecentre i alt","2003-12-01",492,39214,30
"Hele landet","Hoteller og Feriecentre i alt","2004-01-01",495,39182,33
"Hele landet","Hoteller og Feriecentre i alt","2004-02-01",504,39624,40
"Hele landet","Hoteller og Feriecentre i alt","2004-03-01",513,40142,45
"Hele landet","Hoteller og Feriecentre i alt","2004-04-01",533,41085,43
"Hele landet","Hoteller og Feriecentre i alt","2004-05-01",555,42137,51
"Hele landet","Hoteller og Feriecentre i alt","2004-06-01",559,42386,59
"Hele landet","Hoteller og Feriecentre i alt","2004-07-01",562,42719,66
"Hele landet","Hoteller og Feriecentre i alt","2004-08-01",565,42962,64
"Hele landet","Hoteller og Feriecentre i alt","2004-09-01",559,42721,58
"Hele landet","Hoteller og Feriecentre i alt","2004-10-01",537,41810,49
"Hele landet","Hoteller og Feriecentre i alt","2004-11-01",516,40875,51
"Hele landet","Hoteller og Feriecentre i alt","2004-12-01",506,40455,32
"Hele landet","Hoteller og Feriecentre i alt","2005-01-01",494,39786,34
"Hele landet","Hoteller og Feriecentre i alt","2005-02-01",499,40078,40
"Hele landet","Hoteller og Feriecentre i alt","2005-03-01",511,40614,43
"Hele landet","Hoteller og Feriecentre i alt","2005-04-01",528,41406,50
"Hele landet","Hoteller og Feriecentre i alt","2005-05-01",547,42417,52
"Hele landet","Hoteller og Feriecentre i alt","2005-06-01",552,42616,58
"Hele landet","Hoteller og Feriecentre i alt","2005-07-01",551,42446,64
"Hele landet","Hoteller og Feriecentre i alt","2005-08-01",556,42729,67
"Hele landet","Hoteller og Feriecentre i alt","2005-09-01",551,42629,62
"Hele landet","Hoteller og Feriecentre i alt","2005-10-01",527,41706,53
"Hele landet","Hoteller og Feriecentre i alt","2005-11-01",505,40553,52
"Hele landet","Hoteller og Feriecentre i alt","2005-12-01",500,40260,34
"Hele landet","Hoteller og Feriecentre i alt","2006-01-01",482,39125,37
"Hele landet","Hoteller og Feriecentre i alt","2006-02-01",495,39914,41
"Hele landet","Hoteller og Feriecentre i alt","2006-03-01",502,40236,47
"Hele landet","Hoteller og Feriecentre i alt","2006-04-01",519,41088,46
"Hele landet","Hoteller og Feriecentre i alt","2006-05-01",542,42342,55
"Hele landet","Hoteller og Feriecentre i alt","2006-06-01",546,42885,60
"Hele landet","Hoteller og Feriecentre i alt","2006-07-01",544,42666,66
"Hele landet","Hoteller og Feriecentre i alt","2006-08-01",549,43002,68
"Hele landet","Hoteller og Feriecentre i alt","2006-09-01",542,42421,64
"Hele landet","Hoteller og Feriecentre i alt","2006-10-01",518,41460,57
"Hele landet","Hoteller og Feriecentre i alt","2006-11-01",506,40782,55
"Hele landet","Hoteller og Feriecentre i alt","2006-12-01",498,40400,36
"Hele landet","Hoteller og Feriecentre i alt","2007-01-01",486,40726,38
"Hele landet","Hoteller og Feriecentre i alt","2007-02-01",499,41371,43
"Hele landet","Hoteller og Feriecentre i alt","2007-03-01",509,41852,48
"Hele landet","Hoteller og Feriecentre i alt","2007-04-01",525,42646,48
"Hele landet","Hoteller og Feriecentre i alt","2007-05-01",546,43727,56
"Hele landet","Hoteller og Feriecentre i alt","2007-06-01",550,43940,61
"Hele landet","Hoteller og Feriecentre i alt","2007-07-01",548,43708,69
"Hele landet","Hoteller og Feriecentre i alt","2007-08-01",551,44045,69
